timestamp,demand_mw,demand_with_losses_mw,hydro_supply_mw,solar_supply_mw,thermal_supply_mw,total_supply_mw,unmet_demand_mw,frequency_hz
2025-01-01 00:00:00,529.3,590.97,951.13,0.0,0.0,951.13,0.0,49.983
2025-01-01 01:00:00,475.0,530.34,963.21,0.0,0.0,963.21,0.0,50.019
2025-01-01 02:00:00,448.19,500.41,947.97,0.0,0.0,947.97,0.0,50.009
2025-01-01 03:00:00,442.23,493.74,964.75,0.0,0.0,964.75,0.0,50.011
2025-01-01 04:00:00,467.26,521.7,962.36,0.0,0.0,962.36,0.0,50.021
2025-01-01 05:00:00,510.55,570.02,939.3,0.0,0.0,939.3,0.0,49.977
2025-01-01 06:00:00,618.28,690.31,935.35,0.0,0.0,935.35,0.0,49.976
2025-01-01 07:00:00,737.06,822.92,925.3,3.9,0.0,929.2,0.0,50.028
2025-01-01 08:00:00,826.64,922.94,952.35,10.1,0.0,962.44,0.0,49.992
2025-01-01 09:00:00,785.13,876.6,934.87,10.54,0.0,945.41,0.0,49.963
2025-01-01 10:00:00,763.59,852.55,951.45,12.33,0.0,963.78,0.0,49.995
2025-01-01 11:00:00,700.39,781.98,939.11,16.34,0.0,955.45,0.0,49.997
2025-01-01 12:00:00,668.74,746.65,957.92,15.46,0.0,973.38,0.0,50.006
2025-01-01 13:00:00,713.93,797.1,929.68,16.37,0.0,946.05,0.0,49.99
2025-01-01 14:00:00,661.15,738.17,932.23,14.64,0.0,946.87,0.0,50.043
2025-01-01 15:00:00,661.78,738.88,920.05,11.83,0.0,931.89,0.0,49.977
2025-01-01 16:00:00,708.87,791.46,958.74,7.93,0.0,966.67,0.0,49.951
2025-01-01 17:00:00,718.04,801.69,944.62,4.55,0.0,949.17,0.0,49.963
2025-01-01 18:00:00,809.84,904.19,965.97,0.0,0.0,965.97,0.0,49.981
2025-01-01 19:00:00,844.77,943.19,922.2,0.0,21.66,943.85,0.0,50.012
2025-01-01 20:00:00,836.65,934.12,913.65,0.0,20.41,934.06,0.06,49.994
2025-01-01 21:00:00,800.7,893.99,972.68,0.0,0.0,972.68,0.0,50.008
2025-01-01 22:00:00,695.4,776.41,934.63,0.0,0.0,934.63,0.0,49.983
2025-01-01 23:00:00,584.81,652.94,947.84,0.0,0.0,947.84,0.0,50.01
2025-01-02 00:00:00,492.48,549.85,926.23,0.0,0.0,926.23,0.0,49.96
2025-01-02 01:00:00,456.15,509.29,963.38,0.0,0.0,963.38,0.0,50.004
2025-01-02 02:00:00,458.32,511.72,920.82,0.0,0.0,920.82,0.0,50.014
2025-01-02 03:00:00,434.91,485.57,939.44,0.0,0.0,939.44,0.0,49.976
2025-01-02 04:00:00,462.96,516.89,942.57,0.0,0.0,942.57,0.0,50.042
2025-01-02 05:00:00,519.47,579.99,983.53,0.0,0.0,983.53,0.0,49.953
2025-01-02 06:00:00,600.6,670.57,947.97,0.0,0.0,947.97,0.0,50.017
2025-01-02 07:00:00,735.47,821.16,924.66,4.04,0.0,928.7,0.0,50.02
2025-01-02 08:00:00,814.42,909.3,915.15,9.02,0.0,924.17,0.0,49.978
2025-01-02 09:00:00,784.83,876.27,916.24,12.02,0.0,928.26,0.0,50.007
2025-01-02 10:00:00,709.04,791.65,950.26,13.91,0.0,964.18,0.0,49.978
2025-01-02 11:00:00,700.99,782.66,909.53,16.68,0.0,926.21,0.0,50.007
2025-01-02 12:00:00,707.62,790.06,944.59,14.71,0.0,959.3,0.0,49.994
2025-01-02 13:00:00,700.63,782.26,949.06,14.27,0.0,963.33,0.0,49.999
2025-01-02 14:00:00,662.36,739.53,937.83,13.4,0.0,951.23,0.0,49.985
2025-01-02 15:00:00,668.75,746.65,936.24,12.36,0.0,948.6,0.0,49.985
2025-01-02 16:00:00,681.99,761.44,896.28,8.5,0.0,904.78,0.0,49.98
2025-01-02 17:00:00,745.96,832.87,955.48,4.77,0.0,960.25,0.0,50.015
2025-01-02 18:00:00,853.52,952.96,888.08,0.0,48.5,936.58,16.37,49.877
2025-01-02 19:00:00,836.34,933.77,928.96,0.0,4.99,933.95,0.0,50.056
2025-01-02 20:00:00,826.11,922.36,945.63,0.0,0.0,945.63,0.0,50.023
2025-01-02 21:00:00,762.82,851.69,950.96,0.0,0.0,950.96,0.0,49.999
2025-01-02 22:00:00,646.5,721.81,903.6,0.0,0.0,903.6,0.0,50.024
2025-01-02 23:00:00,571.08,637.61,926.48,0.0,0.0,926.48,0.0,50.008
2025-01-03 00:00:00,520.19,580.79,947.86,0.0,0.0,947.86,0.0,49.991
2025-01-03 01:00:00,480.76,536.77,938.15,0.0,0.0,938.15,0.0,50.049
2025-01-03 02:00:00,460.06,513.66,927.22,0.0,0.0,927.22,0.0,50.024
2025-01-03 03:00:00,452.18,504.86,935.56,0.0,0.0,935.56,0.0,49.981
2025-01-03 04:00:00,473.0,528.1,969.83,0.0,0.0,969.83,0.0,50.024
2025-01-03 05:00:00,509.74,569.13,949.44,0.0,0.0,949.44,0.0,50.014
2025-01-03 06:00:00,618.92,691.02,909.85,0.0,0.0,909.85,0.0,49.976
2025-01-03 07:00:00,723.58,807.87,941.34,4.12,0.0,945.45,0.0,50.002
2025-01-03 08:00:00,793.0,885.38,966.74,7.81,0.0,974.55,0.0,49.998
2025-01-03 09:00:00,763.23,852.14,915.35,11.79,0.0,927.14,0.0,49.935
2025-01-03 10:00:00,695.19,776.19,924.77,15.59,0.0,940.36,0.0,49.964
